DATE,POPTHM,GDP,InterestRateRealEstate,MORTGAGE15US,UMCSENT,MSPUS,CSUSHPISA
2003-01-01,289609.0,11174.129,155242.0,5.204615384615384,79.96666666666665,186000.0,129.32066666666668
2003-04-01,290252.6666666666,11312.766,153368.0,4.867692307692308,89.26666666666665,191800.0,131.75566666666666
2003-07-01,290974.0,11566.669,149239.0,5.356923076923077,89.3,191900.0,135.013
2003-10-01,291669.3333333333,11772.234,151454.0,5.248571428571429,91.96666666666665,198800.0,138.83466666666666
2004-01-01,292236.6666666666,11923.447,160762.0,4.8975,98.0,212700.0,143.2986666666667
2004-04-01,292875.3333333333,12112.815,168866.0,5.46,93.33333333333331,217600.0,148.209
2004-07-01,293603.3333333333,12305.307,179974.0,5.291428571428571,95.6,213500.0,152.717
2004-10-01,294334.0,12527.214,179742.0,5.145384615384616,93.86666666666666,228800.0,157.53566666666669
2005-01-01,294957.3333333333,12767.286,185895.0,5.277692307692308,94.06666666666666,232500.0,163.4813333333333
2005-04-01,295588.3333333333,12922.656,188998.0,5.276153846153846,90.2,233700.0,169.347
2005-07-01,296340.3333333333,13142.642,197558.0,5.346153846153847,87.5,236400.0,174.57966666666667
2005-10-01,297085.6666666666,13324.204,204159.0,5.771538461538461,82.43333333333332,243600.0,179.539
2006-01-01,297736.6666666666,13599.16,210658.0,5.855384615384616,88.93333333333332,247700.0,183.32366666666664
2006-04-01,298408.0,13753.424,219299.0,6.228461538461539,83.8,246300.0,183.99733333333327
2006-07-01,299180.0,13870.188,224788.0,6.22,84.03333333333333,235600.0,182.82033333333328
2006-10-01,299946.0,14039.56,229622.0,5.961538461538462,92.46666666666665,245400.0,183.64833333333328
2007-01-01,300609.6666666666,14215.651,236627.0,5.9507692307692315,92.2,257400.0,184.421
2007-04-01,301283.6666666666,14402.082,246080.0,6.056153846153847,86.9,242200.0,181.62133333333333
2007-07-01,302062.6666666666,14564.117,251072.0,6.215384615384616,85.73333333333333,241800.0,178.262
2007-10-01,302828.6666666666,14715.058,249532.0,5.878461538461538,77.5,238400.0,175.371
2008-01-01,303493.6666666666,14706.538,229526.0,5.375384615384616,72.9,233900.0,171.575
2008-04-01,304159.6666666666,14865.701,233389.0,5.653846153846153,59.6,235300.0,166.67133333333334
2008-07-01,304902.3333333333,14898.999,227804.0,5.886153846153847,64.83333333333333,226500.0,161.954
2008-10-01,305616.6666666666,14608.208,221156.0,5.557857142857143,57.666666666666664,222500.0,156.0283333333333
2009-01-01,306236.6666666666,14430.901,207585.0,4.7091666666666665,58.266666666666666,208400.0,150.06
2009-04-01,306866.0,14381.236,170531.0,4.628461538461538,68.2,220900.0,147.911
2009-07-01,307572.6666666666,14448.882,165646.0,4.6061538461538465,68.4,214300.0,148.23666666666668
2009-10-01,308285.0,14651.248,154136.0,4.377142857142857,70.16666666666666,219000.0,147.97066666666666
2010-01-01,308901.6666666666,14764.611,159235.0,4.3775,73.86666666666666,222900.0,146.295
2010-04-01,309488.3333333333,14980.193,171691.0,4.3,73.93333333333332,219500.0,146.17266666666666
2010-07-01,310148.0,15141.605,170065.0,3.92,68.3,224100.0,143.97433333333333
2010-10-01,310817.3333333333,15309.471,172157.0,3.82,71.26666666666667,224300.0,142.25466666666665
2011-01-01,311376.0,15351.444,178624.0,4.123846153846154,73.06666666666666,226900.0,140.61833333333334
2011-04-01,311940.6666666666,15557.535,174539.0,3.844615384615385,71.86666666666666,228100.0,139.92566666666667
2011-07-01,312606.3333333333,15647.681,172464.0,3.473076923076923,59.666666666666664,223500.0,139.23566666666667
2011-10-01,313258.0,15842.267,182557.0,3.2953846153846156,64.8,221100.0,137.2603333333333
2012-01-01,313813.3333333333,16068.824,182727.0,3.187692307692308,75.5,238400.0,137.01533333333333
2012-04-01,314373.3333333333,16207.13,181926.0,3.0423076923076926,76.3,238700.0,140.11333333333332
2012-07-01,315030.3333333333,16319.54,185377.0,2.837692307692308,74.96666666666665,248800.0,142.28633333333332
2012-10-01,315684.6666666666,16420.386,188002.0,2.67,79.4,251700.0,144.56366666666665
2013-01-01,316195.3333333333,16629.05,190750.0,2.736923076923077,76.66666666666666,258400.0,148.191
2013-04-01,316732.6666666666,16699.551,201490.0,2.84,81.66666666666666,268100.0,152.85566666666665
2013-07-01,317396.0,16911.068,212900.0,3.480769230769231,81.56666666666666,264800.0,156.932
2013-10-01,318072.0,17133.114,212169.0,3.3453846153846154,76.93333333333332,273600.0,160.103
2014-01-01,318644.3333333333,17144.281,209229.0,3.4030769230769233,80.93333333333332,275200.0,162.514
2014-04-01,319227.6666666666,17462.703,218705.0,3.3138461538461534,82.83333333333333,288000.0,163.70633333333333
2014-07-01,319918.3333333333,17743.227,223359.0,3.261538461538461,82.96666666666665,281000.0,165.233
2014-10-01,320611.3333333333,17852.54,230317.0,3.1742857142857144,89.76666666666665,298900.0,167.344
2015-01-01,321168.3333333333,17991.348,240604.0,3.0108333333333333,95.5,289200.0,169.189
2015-04-01,321744.0,18193.707,246157.0,3.056153846153846,94.2333333333333,289100.0,170.88266666666667
2015-07-01,322427.6666666666,18306.96,245928.0,3.1507692307692308,90.7333333333333,295800.0,172.9656666666667
2015-10-01,323110.6666666666,18332.079,243526.0,3.1235714285714287,91.3,302500.0,175.69233333333332
2016-01-01,323689.0,18425.306,238871.0,3.0223076923076926,91.56666666666666,299800.0,177.69733333333335
2016-04-01,324265.6666666666,18611.617,247999.0,2.850769230769231,92.4,306000.0,179.426
2016-07-01,324925.3333333333,18775.459,256525.0,2.75,90.33333333333331,303800.0,181.83666666666664
2016-10-01,325557.3333333333,18968.041,256576.0,3.1,93.06666666666666,310900.0,184.749
2017-01-01,326052.6666666666,19148.194,251778.0,3.3953846153846157,97.2333333333333,313100.0,187.36866666666668
2017-04-01,326554.0,19304.506,272199.0,3.237692307692308,96.36666666666666,318200.0,189.62033333333332
2017-07-01,327140.3333333333,19561.896,267027.0,3.1661538461538465,95.1,320500.0,192.63433333333333
2017-10-01,327691.6666666666,19894.75,271446.0,3.290769230769231,98.36666666666666,337900.0,195.98466666666667
2018-01-01,328091.0,20155.486,273713.0,3.74,98.93333333333331,331800.0,199.15233333333327
2018-04-01,328525.6666666666,20470.197,275531.0,4.014615384615385,98.33333333333331,315600.0,201.44366666666664
2018-07-01,329039.6666666666,20687.278,275538.0,4.033846153846153,98.06666666666666,330900.0,203.67633333333333
2018-10-01,329521.6666666666,20819.269,272350.0,4.212307692307692,98.13333333333331,322800.0,205.66666666666669
2019-01-01,329868.3333333333,21013.085,284016.0,3.815384615384616,94.46666666666665,313000.0,206.768
2019-04-01,330245.3333333333,21272.448,296614.0,3.4646153846153847,98.46666666666665,322500.0,208.1146666666667
2019-07-01,330728.6666666666,21531.839,294791.0,3.1292307692307686,93.8,318400.0,210.14466666666667
2019-10-01,331208.0,21706.532,292020.0,3.157692307692308,97.2,327100.0,212.86633333333333
2020-01-01,331534.0,21538.032,296935.0,2.9830769230769234,96.63333333333331,329000.0,215.64633333333333
2020-04-01,331699.0,19636.731,292112.0,2.707692307692308,74.06666666666666,322600.0,217.1603333333333
2020-07-01,331871.6666666666,21362.428,297243.0,2.4646153846153847,75.66666666666666,337500.0,222.623
2020-10-01,332045.0,21704.706,307410.0,2.2885714285714287,79.8,358700.0,233.19133333333332
2021-01-01,331989.0,22313.85,311309.0,2.276666666666667,80.23333333333333,369800.0,242.287
2021-04-01,332149.3333333333,23046.934,319986.0,2.3092307692307688,85.56666666666666,382600.0,253.658
2021-07-01,332480.3333333333,23550.42,343543.0,2.1714285714285717,74.76666666666665,411200.0,266.828
2021-10-01,332786.0,24349.121,356668.0,2.3384615384615386,69.9,423600.0,277.4936666666666
2022-01-01,332977.6666666666,24740.48,348208.0,3.0446153846153847,63.133333333333326,433100.0,290.92466666666667
2022-04-01,333320.3333333333,25248.476,346646.0,4.4507692307692315,57.86666666666667,449300.0,303.1153333333333
2022-07-01,333799.6666666666,25723.941,352401.0,4.880769230769231,56.1,468000.0,301.7296666666666
2022-10-01,334282.6666666666,26137.992,351240.0,5.959230769230769,58.8,479500.0,298.146
2023-01-01,334641.0,26529.774,350803.0,5.564615384615385,64.63333333333333,429000.0,297.25633333333326
